Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId	SourceDisplayName
Why Margie’s Travel?	Margie’s Travel is a full-service travel agent, with years of experience in the worldwide tourism industry.	https://raw.githubusercontent.com/MicrosoftLearning/AI-900-AIFundamentals/main/data/qna/margies_faq.docx		[]	False	[]	1	AakritiSampleBot
What services do you provide?	Margie’s Travel can help arrange flights, accommodation, airport transfers, excursions, visas, travel insurance, and currency exchange.	https://raw.githubusercontent.com/MicrosoftLearning/AI-900-AIFundamentals/main/data/qna/margies_faq.docx		[]	False	[]	2	AakritiSampleBot
What destinations do you offer?	We can arrange travel anywhere in the world, but we specialize in trips to Dubai, Las Vegas, London, New York, and San Francisco.	https://raw.githubusercontent.com/MicrosoftLearning/AI-900-AIFundamentals/main/data/qna/margies_faq.docx		[]	False	[]	3	AakritiSampleBot
How can I book a flight?	Our agents can help you book flights between any major airports, on any of the major airlines. We offer competitive fares for all flight classes. To book a flight, call us on 555 123 456; or visit our website: www.margiestravel.com.	https://raw.githubusercontent.com/MicrosoftLearning/AI-900-AIFundamentals/main/data/qna/margies_faq.docx		[]	False	[]	4	AakritiSampleBot
How can I reserve a hotel?	We partner with the best independent hotels all across the world and can arrange accommodation that suits your needs and budget. From small boutique five-star luxury resorts, we’ve got the right hotel for you. To reserve a hotel, call us on 555 123 456; or visit our website: www.margiestravel.com.	https://raw.githubusercontent.com/MicrosoftLearning/AI-900-AIFundamentals/main/data/qna/margies_faq.docx		[]	False	[]	5	AakritiSampleBot
How do I cancel a flight or hotel?	You can cancel a flight or hotel anytime up to 24 hours before check-in. A cancellation fee may apply. Call us on 555 123 456; or visit our website: [www.margiestravel.com](http://www.margiestravel.com) .	https://raw.githubusercontent.com/MicrosoftLearning/AI-900-AIFundamentals/main/data/qna/margies_faq.docx		[]	False	[]	6	AakritiSampleBot
Can you arrange travel insurance?	Margie’s Travel partners with Humongous Insurance Corp. to provide travel insurance at competitive rates.	https://raw.githubusercontent.com/MicrosoftLearning/AI-900-AIFundamentals/main/data/qna/margies_faq.docx		[]	False	[]	7	AakritiSampleBot
What are your office hours?	Our agents are available by phone on 555 123 456 Monday to Friday from 8:00am to 6:00pm PST . You get help on our website at www.margiestravel.com 24x7.	https://raw.githubusercontent.com/MicrosoftLearning/AI-900-AIFundamentals/main/data/qna/margies_faq.docx		[]	False	[]	8	AakritiSampleBot
Hello	Hello	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	9	
Hi	Hello	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	9	
